Time stamp,Acceleration,Direction(vector form),High speed alert!,Direction Aler!
2024-05-15T03:25:05.076Z,0.54,0.08i -0.28j 0.46k,No Alert,No Alert
2024-05-15T03:25:06.076Z,0.73,0.54i -0.29j 0.39k,No Alert,No Alert
2024-05-15T03:25:07.075Z,0.8,0.41i -0.20j 0.65k,No Alert,No Alert
2024-05-15T03:25:08.075Z,0.82,0.59i -0.23j 0.52k,No Alert,No Alert
2024-05-15T03:25:09.075Z,0.79,0.57i -0.42j 0.34k,No Alert,No Alert
2024-05-15T03:25:10.075Z,0.73,0.50i -0.40j 0.35k,No Alert,No Alert
2024-05-15T03:25:11.075Z,0.66,0.36i -0.47j 0.30k,No Alert,No Alert
2024-05-15T03:25:12.075Z,0.8,0.58i -0.52j 0.20k,No Alert,No Alert
2024-05-15T03:25:13.076Z,0.79,0.42i -0.66j 0.14k,No Alert,No Alert
2024-05-15T03:25:14.076Z,0.72,0.28i -0.66j 0.06k,No Alert,No Alert
2024-05-15T03:25:15.075Z,0.52,0.13i -0.51j 0.03k,No Alert,No Alert
2024-05-15T03:25:16.076Z,0.95,0.25i -0.92j 0.02k,No Alert,No Alert
2024-05-15T03:25:17.075Z,0.59,0.15i -0.56j 0.09k,No Alert,No Alert
2024-05-15T03:25:18.076Z,0.64,0.03i -0.62j -0.15k,No Alert,No Alert
2024-05-15T03:25:19.075Z,1.09,0.57i -0.92j -0.10k,No Alert,No Alert
2024-05-15T03:25:20.079Z,0.99,0.62i -0.76j -0.10k,No Alert,No Alert
2024-05-15T03:25:21.075Z,1.28,0.89i -0.91j 0.02k,No Alert,No Alert
2024-05-15T03:25:22.076Z,1.5,1.05i -1.07j 0.06k,No Alert,No Alert
2024-05-15T03:25:23.075Z,1.12,0.65i -0.87j 0.27k,No Alert,No Alert
2024-05-15T03:25:24.091Z,1.4,0.90i -1.03j 0.29k,No Alert,No Alert
2024-05-15T03:25:25.075Z,0.95,0.59i -0.72j 0.21k,No Alert,No Alert
2024-05-15T03:25:26.075Z,0.75,0.32i -0.68j 0.02k,No Alert,No Alert
2024-05-15T03:25:27.077Z,0.92,0.27i -0.81j -0.34k,No Alert,No Alert
2024-05-15T03:25:28.076Z,1.05,0.17i -0.92j -0.48k,No Alert,No Alert
2024-05-15T03:25:29.075Z,1.13,0.10i -0.94j -0.63k,No Alert,No Alert
2024-05-15T03:25:30.075Z,1.07,0.10i -0.94j -0.49k,No Alert,No Alert
2024-05-15T03:25:31.075Z,1.11,0.14i -1.03j -0.41k,No Alert,No Alert
2024-05-15T03:25:38.075Z,0.9,0.45i 0.78j -0.02k,No Alert,No Alert
2024-05-15T03:25:39.075Z,1.27,1.11i 0.39j 0.48k,No Alert,No Alert
2024-05-15T03:25:40.076Z,2.22,1.89i -0.36j 1.11k,No Alert,No Alert
2024-05-15T03:25:41.079Z,3.21,2.31i -1.20j 1.89k,Alert: High Acceleration Detected!,No Alert
2024-05-15T03:25:42.076Z,1.05,0.99i 0.20j 0.30k,No Alert,No Alert
2024-05-15T03:25:43.075Z,1.82,1.80i 0.07j 0.26k,No Alert,No Alert
2024-05-15T03:25:44.075Z,2.54,2.39i 0.77j 0.35k,No Alert,No Alert
2024-05-15T03:25:45.075Z,2.9,2.83i 0.54j 0.36k,No Alert,No Alert
2024-05-15T03:25:46.075Z,2.71,2.25i 1.48j -0.28k,No Alert,No Alert
2024-05-15T03:25:47.075Z,2.83,2.72i 0.73j -0.17k,No Alert,No Alert
2024-05-15T03:25:48.075Z,1.86,1.75i 0.64j 0.00k,No Alert,No Alert
2024-05-15T03:25:49.075Z,1.88,1.68i 0.39j 0.75k,No Alert,No Alert
2024-05-15T03:25:50.076Z,2.56,2.31i 1.12j 0.03k,No Alert,No Alert
2024-05-15T03:25:51.074Z,2.89,2.68i -0.26j -1.06k,No Alert,No Alert
2024-05-15T03:25:52.076Z,3.27,3.03i -0.88j -0.86k,Alert: High Acceleration Detected!,No Alert
2024-05-15T03:25:53.075Z,3.4,2.71i -1.73j -1.11k,Alert: High Acceleration Detected!,No Alert
2024-05-15T03:25:54.074Z,3.04,2.74i -1.32j 0.12k,Alert: High Acceleration Detected!,No Alert
2024-05-15T03:25:55.076Z,2.97,2.34i -1.80j -0.30k,No Alert,No Alert
2024-05-15T03:25:56.075Z,2.28,1.88i -1.29j -0.14k,No Alert,No Alert
2024-05-15T03:25:57.076Z,1.91,1.40i -1.28j -0.20k,No Alert,No Alert
2024-05-15T03:25:58.076Z,2.94,2.10i -2.02j 0.37k,No Alert,No Alert
2024-05-15T03:25:59.075Z,2.87,2.18i -1.79j 0.53k,No Alert,No Alert
2024-05-15T03:26:00.076Z,2.5,2.26i -0.93j 0.54k,No Alert,No Alert
2024-05-15T03:26:01.076Z,2.88,2.73i -0.70j 0.56k,No Alert,No Alert
2024-05-15T03:26:02.076Z,3.23,3.07i -0.25j 0.95k,Alert: High Acceleration Detected!,No Alert
2024-05-15T03:26:03.075Z,2.63,2.47i -0.03j 0.90k,No Alert,No Alert
2024-05-15T03:26:04.075Z,2.45,2.37i -0.05j 0.63k,No Alert,No Alert
2024-05-15T03:26:05.076Z,2.37,2.25i 0.12j 0.74k,No Alert,No Alert
2024-05-15T03:26:06.076Z,1.97,1.84i -0.06j 0.67k,No Alert,No Alert
2024-05-15T03:26:07.076Z,1.41,1.26i -0.19j 0.60k,No Alert,No Alert
2024-05-15T03:26:08.076Z,1.26,1.10i -0.30j 0.54k,No Alert,No Alert
2024-05-15T03:26:09.075Z,1.91,1.66i -0.84j 0.44k,No Alert,No Alert
2024-05-15T03:26:10.075Z,2.4,1.96i -1.28j 0.55k,No Alert,No Alert
2024-05-15T03:26:11.075Z,2.91,2.36i -1.60j 0.63k,No Alert,No Alert
2024-05-15T03:26:12.075Z,3.02,2.56i -1.57j 0.35k,Alert: High Acceleration Detected!,No Alert
2024-05-15T03:26:13.075Z,2.5,2.33i -0.78j 0.46k,No Alert,No Alert
2024-05-15T03:26:14.075Z,2.99,2.78i -0.77j 0.76k,No Alert,No Alert
2024-05-15T03:26:15.075Z,2.44,2.37i -0.52j 0.30k,No Alert,No Alert
2024-05-15T03:26:16.076Z,1.7,1.56i -0.51j 0.44k,No Alert,No Alert
2024-05-15T03:26:17.075Z,1.52,1.49i -0.26j -0.12k,No Alert,No Alert
2024-05-15T03:26:18.078Z,0.82,0.79i -0.16j 0.17k,No Alert,No Alert
2024-05-15T03:26:19.075Z,0.99,0.57i -0.77j -0.24k,No Alert,No Alert
2024-05-15T03:26:20.075Z,1.3,0.70i -1.07j -0.24k,No Alert,No Alert
2024-05-15T03:26:21.076Z,0.99,0.15i -0.96j -0.15k,No Alert,No Alert
2024-05-15T03:26:27.075Z,1.02,0.11i -0.92j -0.42k,No Alert,No Alert
2024-05-15T03:26:28.076Z,0.77,0.07i -0.63j -0.44k,No Alert,No Alert
2024-05-15T03:26:29.075Z,0.91,0.84i -0.08j 0.34k,No Alert,No Alert
2024-05-15T03:26:30.077Z,0.49,0.39i -0.30j -0.08k,No Alert,No Alert
2024-05-15T03:26:31.076Z,0.26,0.09i -0.23j 0.08k,No Alert,No Alert
2024-05-15T03:26:33.076Z,1.84,0.97i -1.13j -1.07k,No Alert,No Alert
2024-05-15T03:26:34.078Z,1.68,1.23i -0.84j -0.79k,No Alert,No Alert
2024-05-15T03:26:35.076Z,1.29,0.75i -0.85j -0.62k,No Alert,No Alert
2024-05-15T03:26:36.075Z,0.77,0.27i -0.64j -0.33k,No Alert,No Alert
2024-05-15T03:26:37.078Z,0.68,0.27i -0.62j -0.06k,No Alert,No Alert
2024-05-15T03:26:38.076Z,0.64,0.31i -0.55j -0.08k,No Alert,No Alert
2024-05-15T03:26:39.075Z,0.98,0.75i 0.55j -0.33k,No Alert,No Alert
2024-05-15T03:26:40.077Z,0.46,0.25i -0.32j -0.24k,No Alert,No Alert
2024-05-15T03:26:41.087Z,0.26,0.04i -0.25j 0.04k,No Alert,No Alert
2024-05-15T03:26:42.076Z,0.74,0.33i 0.65j 0.09k,No Alert,No Alert
2024-05-15T03:26:43.076Z,0.78,0.17i 0.75j 0.15k,No Alert,No Alert
2024-05-15T03:26:44.076Z,0.55,0.11i 0.34j 0.42k,No Alert,No Alert
2024-05-15T03:26:45.076Z,1.43,0.09i 1.32j 0.52k,No Alert,No Alert
2024-05-15T03:26:52.076Z,0.45,0.26i -0.37j -0.03k,No Alert,No Alert
2024-05-15T03:26:53.076Z,0.49,0.27i -0.37j 0.17k,No Alert,No Alert
2024-05-15T03:26:54.076Z,0.71,0.66i -0.22j -0.16k,No Alert,No Alert
2024-05-15T03:26:55.076Z,1.1,0.94i -0.18j 0.53k,No Alert,No Alert
2024-05-15T03:26:56.076Z,0.72,0.53i 0.11j 0.47k,No Alert,No Alert
2024-05-15T03:26:57.076Z,0.17,0.15i 0.07j 0.03k,No Alert,No Alert
2024-05-15T03:26:59.077Z,1.79,0.01i -1.77j 0.26k,No Alert,No Alert
2024-05-15T03:27:00.078Z,1.19,0.16i -1.10j 0.44k,No Alert,No Alert
2024-05-15T03:27:01.077Z,1.12,0.58i -0.70j 0.66k,No Alert,No Alert
2024-05-15T03:27:02.076Z,0.44,0.37i -0.23j 0.07k,No Alert,No Alert
2024-05-15T03:27:03.077Z,0.29,0.14i -0.16j -0.20k,No Alert,No Alert
2024-05-15T03:27:04.076Z,0.44,0.09i -0.25j -0.36k,No Alert,No Alert
2024-05-15T03:27:05.079Z,0.58,0.06i -0.38j -0.43k,No Alert,No Alert
2024-05-15T03:27:06.079Z,0.68,0.03i -0.49j -0.47k,No Alert,No Alert
2024-05-15T03:27:07.077Z,0.76,0.01i -0.57j -0.50k,No Alert,No Alert
2024-05-15T03:27:24.075Z,0.85,0.08i -0.76j -0.37k,No Alert,No Alert
2024-05-15T03:27:25.077Z,0.83,0.20i -0.77j -0.22k,No Alert,No Alert
2024-05-15T03:27:26.079Z,0.83,0.32i -0.77j -0.07k,No Alert,No Alert
2024-05-15T03:27:27.076Z,0.85,0.40i -0.75j 0.06k,No Alert,No Alert
2024-05-15T03:27:28.078Z,0.88,0.47i -0.73j 0.16k,No Alert,No Alert
2024-05-15T03:27:29.078Z,0.89,0.50i -0.68j 0.26k,No Alert,No Alert
2024-05-15T03:27:30.078Z,0.91,0.54i -0.66j 0.32k,No Alert,No Alert
2024-05-15T03:27:31.078Z,0.88,0.54i -0.65j 0.26k,No Alert,No Alert
2024-05-15T03:27:32.079Z,0.89,0.63i -0.60j 0.17k,No Alert,No Alert
2024-05-15T03:27:33.078Z,0.91,0.70i -0.56j 0.13k,No Alert,No Alert
2024-05-15T03:27:34.077Z,0.93,0.76i -0.54j 0.11k,No Alert,No Alert
2024-05-15T03:27:35.077Z,0.95,0.78i -0.54j 0.09k,No Alert,No Alert
2024-05-15T03:27:36.077Z,0.97,0.80i -0.54j 0.12k,No Alert,No Alert
2024-05-15T03:27:37.077Z,0.96,0.79i -0.53j 0.14k,No Alert,No Alert
2024-05-15T03:27:38.077Z,0.97,0.81i -0.52j 0.12k,No Alert,No Alert
2024-05-15T03:27:39.077Z,0.95,0.78i -0.53j 0.08k,No Alert,No Alert
2024-05-15T03:27:40.077Z,0.96,0.71i -0.65j 0.04k,No Alert,No Alert
2024-05-15T03:27:41.076Z,0.97,0.73i -0.64j 0.03k,No Alert,No Alert
2024-05-15T03:27:42.077Z,0.96,0.73i -0.63j -0.01k,No Alert,No Alert
2024-05-15T03:27:43.076Z,0.98,0.73i -0.65j -0.02k,No Alert,No Alert
2024-05-15T03:27:44.076Z,0.98,0.73i -0.66j -0.03k,No Alert,No Alert
2024-05-15T03:27:45.078Z,0.98,0.72i -0.67j -0.06k,No Alert,No Alert
2024-05-15T03:27:46.078Z,0.84,0.70i -0.40j -0.22k,No Alert,No Alert
2024-05-15T03:27:47.077Z,0.95,0.87i -0.31j -0.20k,No Alert,No Alert
2024-05-15T03:27:48.078Z,0.91,0.90i -0.07j -0.14k,No Alert,No Alert
2024-05-15T03:27:49.082Z,0.9,0.89i 0.09j -0.10k,No Alert,No Alert
2024-05-15T03:27:50.077Z,0.91,0.88i 0.21j -0.08k,No Alert,No Alert
2024-05-15T03:27:51.092Z,0.92,0.87i 0.29j -0.07k,No Alert,No Alert
2024-05-15T03:27:52.080Z,0.94,0.87i 0.35j -0.06k,No Alert,No Alert
2024-05-15T03:27:53.078Z,0.96,0.87i 0.40j -0.05k,No Alert,No Alert
2024-05-15T03:27:54.077Z,0.97,0.87i 0.43j -0.05k,No Alert,No Alert
2024-05-15T03:27:55.077Z,0.98,0.87i 0.45j -0.05k,No Alert,No Alert
2024-05-15T03:27:56.078Z,0.99,0.87i 0.47j -0.04k,No Alert,No Alert
2024-05-15T03:27:57.077Z,0.99,0.86i 0.48j -0.04k,No Alert,No Alert
2024-05-15T03:27:58.077Z,0.99,0.86i 0.49j -0.04k,No Alert,No Alert
2024-05-15T03:27:59.077Z,1,0.86i 0.49j -0.04k,No Alert,No Alert
2024-05-15T03:28:00.077Z,1,0.86i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:01.078Z,1,0.86i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:02.077Z,1,0.86i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:03.077Z,1,0.86i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:04.078Z,1,0.86i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:05.077Z,1,0.87i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:06.077Z,1,0.87i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:07.077Z,1,0.86i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:08.077Z,1.01,0.87i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:09.078Z,1,0.87i 0.51j -0.04k,No Alert,No Alert
2024-05-15T03:28:10.078Z,1,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:11.078Z,1,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:12.077Z,1,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:13.077Z,1,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:14.079Z,1,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:15.079Z,1.01,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:16.077Z,1.01,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:17.077Z,1.01,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:18.078Z,1.01,0.87i 0.50j -0.04k,No Alert,No Alert
2024-05-15T03:28:19.078Z,1.01,0.86i 0.52j -0.06k,No Alert,No Alert
2024-05-15T03:28:20.078Z,1,0.81i 0.58j -0.05k,No Alert,No Alert
2024-05-15T03:28:21.077Z,0.82,0.59i 0.50j -0.28k,No Alert,No Alert
2024-05-15T03:28:22.077Z,0.69,0.30i 0.59j -0.17k,No Alert,No Alert
2024-05-15T03:28:23.077Z,0.65,0.07i 0.65j -0.05k,No Alert,No Alert
2024-05-15T03:47:37.390Z,1.01,-0.04i 0.04j 1.00k,No Alert,No Alert
2024-05-15T03:47:38.386Z,1.01,-0.04i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:47:39.391Z,1.01,-0.04i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:47:40.387Z,1.01,-0.04i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:47:41.386Z,1.01,-0.04i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:47:42.386Z,1.01,-0.04i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:47:43.386Z,1.06,0.20i 0.29j 1.00k,No Alert,No Alert
2024-05-15T03:47:44.386Z,1.05,0.25i 0.16j 1.01k,No Alert,No Alert
2024-05-15T03:47:45.386Z,1.02,0.06i 0.12j 1.01k,No Alert,No Alert
2024-05-15T03:47:46.387Z,1.12,0.22i 0.45j 1.01k,No Alert,No Alert
2024-05-15T03:47:47.386Z,1.14,-0.35i 0.41j 1.00k,No Alert,No Alert
2024-05-15T03:47:48.386Z,1.08,-0.25i 0.31j 1.00k,No Alert,No Alert
2024-05-15T03:48:22.390Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:23.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:24.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:25.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:26.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:27.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:28.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:29.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:30.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:31.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:32.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:33.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:34.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:35.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:36.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:37.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:38.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:39.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:40.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:41.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:42.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:43.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:44.390Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:45.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:46.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:47.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:48.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:49.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:50.388Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:51.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:52.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:53.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:54.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:55.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:56.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:57.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:58.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:48:59.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:00.385Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:01.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:02.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:03.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:04.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:05.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:06.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:07.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:08.399Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:09.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:10.386Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:11.389Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:12.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:13.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:14.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:15.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:16.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:17.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:18.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:19.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:20.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:21.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:22.388Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:23.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:24.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:25.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:26.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:27.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:28.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:29.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:30.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:31.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:32.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:33.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:34.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:35.388Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:36.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:37.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:38.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:39.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:40.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:41.393Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:42.387Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:43.388Z,1.01,0.01i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:44.386Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:45.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:46.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:47.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:48.387Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:49.388Z,1.01,0.00i 0.04j 1.01k,No Alert,No Alert
2024-05-15T03:49:50.389Z,0.8,-0.14i 0.26j 0.75k,No Alert,No Alert
